id,Name,District Number,Email,Profile Image,District Office Address,District Office Phone,District Office Fax,Legislative Office Address,Legislative Office Phone,Legislative Office Fax
1,Margaret S. Chin,1,chin@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/2/2016/05/6-photo_committee-400x267.jpg,"101 Lafayette St, 9th Floor New York, NY 10013 ",2125873159,2125873138,"250 Broadway, Suite 1762 New York, NY 10007 ",2124421563,
2,Carlina Rivera,2,District2@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/65/2018/01/38866914005_5f25ed6ba1_o-400x226.jpg,(TEMPORARILY CLOSED) 254 East 4th Street ,2126771077,2126771990,"(TEMPORARILY CLOSED) 250 Broadway, Suite 1734 New York, NY 10007 ",2127887366,
3,Corey Johnson,3,SpeakerJohnson@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/4/2018/01/27702914599_1810c15f20_o-1-400x267.jpg,"224 West 30th St, Suite 1206 New York, NY 10001 ",2125647757,2125647347,"NYC Council Speaker Corey Johnson City Hall Office New York, NY 10007 ",2127887210,
4,Keith Powers,4,KPowers@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/64/2018/01/GH1_0623-28229-400x267.jpg,"211 East 43rd Street, Suite 1205 New York, NY 10017 212-818-0580 ",,,"Legislative Office         250 Broadway, Suite 1815 New York, NY 10007 212-788-7393 For scheduling, please email Kana Ervin ",,
5,Ben Kallos,5,BKallos@BenKallos.com,https://council.nyc.gov/wp-content/uploads/sites/6/2016/05/Ben-Kallos-400x225.jpg,"244 East 93rd Street New York, NY 10128 ",2128601950,2129801828,"250 Broadway, Suite 1807 New York, NY 10007 ",2127886865,
6,Helen Rosenthal,6,Helen@HelenRosenthal.com,https://council.nyc.gov/wp-content/uploads/sites/7/2016/05/helen-contracts-hearing-400x267.jpg,"563 Columbus Ave (at the corner of 87th St.) New York, NY 10024 ",2128730282,2128730279,"250 Broadway Suite 1744 New York, NY 10007 ",2127886975,
7,Mark Levine,7,District7@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/8/2016/05/levine-400x272.jpg,"500 West 141st Street New York, NY 10031 ",2129286814,6465821408,"250 Broadway, Rm. 1816 New York, NY 10007 ",6465821408,
8,Diana Ayala,8,DAyala@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/63/2018/01/dianaayala-400x291.jpg,"East Harlem Office:  105 East 116th Street  New York, NY 10029 ",3472974922,3472701213,"250 Broadway, Suite 1880 New York, NY 10007 ",2127226378,
9,Bill Perkins,9,D09perkins@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/59/2017/03/bill-perkins-400x267.jpeg,"Adam Clayton Powell Jr. State Office Building,  163 West 125th Street, Room 729,  New York, NY 10027 ",2126784505,2126624441,"250 Broadway Suite 1821 New York, NY 10007 ",2124422732,
10,Ydanis Rodriguez,10,yrodriguez@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/11/2016/05/Ydanis-400x267.jpg,"618 W. 177th Street, Ground Floor New York, NY 10033 ",9175212616,9175211293,"250 Broadway, Suite 1763 New York, NY 10007 ",2122271215,
11,Andrew Cohen,11,District11@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/12/2020/03/39243537310_ab01cc9969_z-400x247.jpg,"Kingsbridge Office: 277 West 231st Street Bronx, NY 10463 ",7185497300,7185499945,"250 Broadway, Suite 1868 New York, NY 10007 ",2124427827,
12,Andy King,12,Andy.King@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/13/2016/05/CMKing-400x292.jpeg,"940 East Gun Hill Road Bronx, NY 10469 ",7186845511,7186846610,"250 Broadway, Room 1774 New York, NY 10007 ",2127888954,
13,Mark Gjonaj,13,MGjonaj@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/62/2020/04/27802226408_5fdbed3eb1_o-400x267.jpg,"1478 Williamsbridge Road Bronx, NY 10461 ",7189311721,7189311605,"250 Broadway, Suite 1847 New York, NY 10007 ",2124422724,
14,Fernando Cabrera,14,fcabrera@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/15/2016/05/cabrera-cropped-400x267.jpg,"2065 Morris Avenue Bronx, NY 10453 ",3475902874,3475902878,"250 Broadway Suite 1725 New York, NY 10007 ",2127888849,
15,Ritchie J. Torres,15,Rtorres@council.nyc.gov,https://council.nyc.gov/wp-content/uploads/sites/16/2018/10/Cover-Photo-2-400x257.jpg,"573 East Fordham Road  (Entrance on Hoffman Street)  Bronx, NY 10458 ",7188428100,3475978570,"250 Broadway, Suite 1759 New York, NY 10007 ",2127888977,
